"X","Y","D_epicenter(km)","Geo_zone","Footprint(m2)","Num_floors","Construction_year","Building_type","AB 0s","AB -1s","AB 0.05s","AB 0.1s","AB 0.5s","AB 1s","AB 1.5s","AB 2s","AB 3s","AB 4s","Damage_state"
7475160.848,4842625.26,4.37,"z5",56,2,1991,"bt6.",0.241436,10.7962,0.347712,0.533715,0.216675,0.070404,0.0349432,0.0208763,0.00935948,0.00544139,"ds0."
7478116.14,4842105.976,4.39,"z2",30,1,1998,"bt6.",0.232729,12.3043,0.324232,0.486064,0.238907,0.0841365,0.042355,0.0258686,0.0116797,0.0067871,"ds0."
7478128.696,4842097.796,4.4,"z2",40,1,1992,"bt6.",0.232545,12.2959,0.323944,0.485637,0.238764,0.084092,0.0423332,0.0258546,0.0116733,0.00678326,"ds0."
7476927.564,4842019.616,4.42,"z2",61,1,1990,"bt6.",0.232178,12.279,0.32337,0.484783,0.238478,0.084003,0.0422896,0.0258267,0.0116605,0.00677556,"ds0."
7475313.54,4842480.812,4.42,"z5",47,1,2008,"bt6.",0.240393,10.7564,0.346073,0.531169,0.215922,0.0701914,0.034842,0.0208153,0.00933224,0.00542543,"ds0."
7478081.276,4842055.924,4.43,"z2",80,2,2005,"bt6.",0.231994,12.2705,0.323083,0.484356,0.238336,0.0839584,0.0422678,0.0258128,0.0116541,0.00677171,"ds0."
7476841.244,4842007.28,4.44,"z2",44,2,2010,"bt6.",0.23181,12.2621,0.322796,0.483928,0.238192,0.0839138,0.042246,0.0257988,0.0116477,0.00676786,"ds0."
7476901.78,4841988.672,4.45,"z2",50,1,1998,"bt6.",0.231626,12.2536,0.322508,0.483501,0.238049,0.0838692,0.0422241,0.0257848,0.0116413,0.006764,"ds0."
7475242.568,4842488.852,4.45,"z5",101,2,2000,"bt6.",0.239767,10.7325,0.345089,0.52964,0.215469,0.0700635,0.0347812,0.0207787,0.00931586,0.00541584,"ds0."
7477050.548,4841972.644,4.46,"z2",63,1,2004,"bt6.",0.231442,12.2451,0.322221,0.483073,0.237906,0.0838245,0.0422023,0.0257708,0.0116349,0.00676014,"ds0."
7475510.964,4842348.08,4.46,"z5",43,2,1992,"bt6.",0.239558,10.7245,0.344761,0.52913,0.215318,0.0700208,0.0347609,0.0207664,0.00931039,0.00541264,"ds0."
7477673.424,4841948.652,4.49,"z2",50,1,1999,"bt6.",0.23089,12.2197,0.321358,0.48179,0.237476,0.0836904,0.0421366,0.0257288,0.0116156,0.00674856,"ds0."
7477142.8,4841928.70985,4.5,"z2",62,2,2013,"bt6.",0.230706,12.2112,0.32107,0.481362,0.237333,0.0836456,0.0421147,0.0257148,0.0116092,0.00674469,"ds0."
7476556.376,4841974.38,4.51,"z2",30,1,1989,"bt6.",0.230522,12.2027,0.320783,0.480934,0.237189,0.0836008,0.0420928,0.0257007,0.0116028,0.00674083,"ds0."
7477544.72,4841903.136,4.52,"z2",60,1,2001,"bt6.",0.230337,12.1943,0.320495,0.480506,0.237045,0.083556,0.0420709,0.0256867,0.0115963,0.00673696,"ds0."
7475211.264,4842425.168,4.52,"z5",38,2,2003,"bt6.",0.238304,10.6766,0.342791,0.52607,0.214409,0.0697643,0.0346389,0.0206929,0.00927754,0.0053934,"ds0."
7477351.896,4841889.912,4.53,"z2",60,1,1993,"bt6.",0.230153,12.1858,0.320207,0.480078,0.236902,0.0835112,0.0420489,0.0256727,0.0115899,0.00673309,"ds0."
7477427.904,4841869.956,4.55,"z2",49,2,2004,"bt6.",0.229784,12.1688,0.319631,0.479221,0.236614,0.0834214,0.042005,0.0256445,0.011577,0.00672534,"ds0."
7474666.224,4842730.412,4.55,"z5",41,1,1997,"bt6.",0.237676,10.6526,0.341805,0.524539,0.213954,0.0696358,0.0345777,0.020656,0.00926107,0.00538376,"ds0."
7475633.496,4842185.36,4.56,"z5",50,1,1997,"bt6.",0.237466,10.6446,0.341476,0.524028,0.213803,0.0695929,0.0345573,0.0206437,0.00925558,0.00538055,"ds0."
7474846.944,4842586.696,4.57,"z5",61,1,1988,"bt6.",0.237257,10.6365,0.341148,0.523518,0.213651,0.06955,0.0345369,0.0206314,0.00925008,0.00537733,"ds0."
7474591.116,4842753.956,4.57,"z5",53,2,1994,"bt6.",0.237257,10.6365,0.341148,0.523518,0.213651,0.06955,0.0345369,0.0206314,0.00925008,0.00537733,"ds0."
7475513.992,4842215.576,4.58,"z5",60,1,1995,"bt6.",0.237048,10.6285,0.340819,0.523007,0.213499,0.069507,0.0345165,0.0206191,0.00924459,0.00537411,"ds0."
7476297.852,4841962.328,4.58,"z2",45,1,1990,"bt6.",0.229231,12.1433,0.318767,0.477935,0.236182,0.0832866,0.041939,0.0256023,0.0115576,0.0067137,"ds0."
7476853.572,4841854.372,4.59,"z2",54,2,2006,"bt6.",0.229046,12.1348,0.318479,0.477507,0.236038,0.0832416,0.041917,0.0255882,0.0115512,0.00670982,"ds0."
7475431.988,4842233.18,4.6,"z5",54,2,1995,"bt6.",0.236629,10.6125,0.340162,0.521986,0.213195,0.0694211,0.0344756,0.0205945,0.00923358,0.00536767,"ds0."
7476912.432,4841815.192,4.62,"z2",48,2,2004,"bt6.",0.228492,12.1092,0.317615,0.476221,0.235605,0.0831066,0.0418508,0.0255459,0.0115318,0.00669817,"ds0."
7475176.768,4842335.472,4.62,"z5",36,2,2007,"bt6.",0.23621,10.5965,0.339504,0.520965,0.212891,0.0693351,0.0344347,0.0205698,0.00922257,0.00536122,"ds0."
7475187.532,4842301.724,4.64,"z5",80,2,1989,"bt6.",0.23579,10.5804,0.338847,0.519943,0.212587,0.069249,0.0343938,0.0205451,0.00921155,0.00535477,"ds0."
7475057.036,4842353.856,4.66,"z5",49,1,2001,"bt6.",0.235371,10.5644,0.338189,0.518922,0.212282,0.0691629,0.0343528,0.0205204,0.00920052,0.00534832,"ds0."
7477104.36,4841761.604,4.66,"z2",65,2,2001,"bt6.",0.227752,12.0751,0.316462,0.474505,0.235027,0.0829261,0.0417625,0.0254894,0.0115059,0.0066826,"ds0."
7476422.912,4841840.824,4.67,"z2",49,1,1992,"bt6.",0.227567,12.0666,0.316173,0.474076,0.234883,0.0828809,0.0417404,0.0254753,0.0114994,0.00667871,"ds0."
7476455.476,4841833.352,4.67,"z2",36,2,2002,"bt6.",0.227567,12.0666,0.316173,0.474076,0.234883,0.0828809,0.0417404,0.0254753,0.0114994,0.00667871,"ds0."
7475579.464,4842094.444,4.67,"z5",74,2,1992,"bt6.",0.235161,10.5563,0.33786,0.518411,0.21213,0.0691198,0.0343323,0.0205081,0.009195,0.00534509,"ds0."
7476755.256,4841779.32,4.68,"z2",91,2,1992,"bt6.",0.227382,12.0581,0.315885,0.473647,0.234738,0.0828357,0.0417183,0.0254611,0.0114929,0.00667481,"ds0."
7476070.68,4841887.99505,4.7,"z2",59,2,2000,"bt6.",0.227012,12.041,0.315308,0.472789,0.234448,0.0827453,0.041674,0.0254328,0.0114799,0.00666702,"ds0."
7475559.956,4842049.604,4.71,"z5",41,2,1991,"bt6.",0.234322,10.5242,0.336545,0.516368,0.21152,0.0689473,0.0342501,0.0204586,0.0091729,0.00533215,"ds0."
7475539.552,4842062.16,4.71,"z5",36,1,1991,"bt6.",0.234322,10.5242,0.336545,0.516368,0.21152,0.0689473,0.0342501,0.0204586,0.0091729,0.00533215,"ds0."
7477015.568,4841715.864,4.71,"z2",46,2,1996,"bt6.",0.226827,12.0325,0.31502,0.472359,0.234303,0.0827001,0.0416518,0.0254187,0.0114734,0.00666312,"ds0."
7476046.728,4841881.976,4.72,"z2",55,2,2007,"bt6.",0.226642,12.0239,0.314732,0.47193,0.234158,0.0826548,0.0416297,0.0254045,0.0114669,0.00665922,"ds0."
7475718.476,4841967.372,4.73,"z5",51,1,2001,"bt6.",0.233903,10.5081,0.335888,0.515347,0.211215,0.0688609,0.034209,0.0204338,0.00916185,0.00532568,"ds0."
7474559.948,4842571.308,4.74,"z5",56,2,1997,"bt6.",0.233693,10.5001,0.335559,0.514836,0.211062,0.0688177,0.0341885,0.0204215,0.00915631,0.00532244,"ds0."
7475090.444,4842190.236,4.78,"z5",65,1,1988,"bt6.",0.232854,10.4679,0.334244,0.512794,0.210451,0.0686447,0.0341061,0.0203719,0.00913416,0.00530948,"ds0."
7474529.512,4842502.476,4.81,"z5",45,1,1998,"bt6.",0.232224,10.4437,0.333258,0.511262,0.209992,0.0685148,0.0340443,0.0203346,0.00911753,0.00529975,"ds0."
7475267.464,4842055.696,4.83,"z5",54,1,2005,"bt6.",0.231804,10.4276,0.332601,0.510241,0.209686,0.0684281,0.0340031,0.0203098,0.00910644,0.00529326,"ds0."
7475348.296,4842000.892,4.84,"z5",54,2,2001,"bt6.",0.231594,10.4196,0.332272,0.509731,0.209533,0.0683848,0.0339824,0.0202973,0.00910089,0.00529001,"ds0."
7474655.464,4842359.964,4.86,"z5",83,2,1989,"bt6.",0.231175,10.4035,0.331615,0.50871,0.209227,0.068298,0.0339411,0.0202725,0.00908979,0.00528351,"ds0."
7474558.072,4842404.744,4.88,"z5",59,1,1990,"bt6.",0.230755,10.3873,0.330958,0.50769,0.208921,0.0682112,0.0338998,0.0202476,0.00907868,0.00527701,"ds0."
7476173.636,4841647.764,4.91,"z2",43,2,1992,"bt6.",0.223121,11.8613,0.309252,0.463775,0.231395,0.0817911,0.0412068,0.0251343,0.0113431,0.00658485,"ds0."
7474449.972,4842431.892,4.92,"z5",110,2,2004,"bt6.",0.229915,10.3551,0.329645,0.50565,0.208308,0.0680375,0.0338171,0.0201978,0.00905644,0.005264,"ds0."
7477444.276,4841477.252,4.94,"z2",38,2,2004,"bt6.",0.222565,11.8356,0.308388,0.462487,0.230957,0.0816542,0.0411398,0.0250914,0.0113235,0.00657308,"ds0."
7475968.556,4841638.428,4.97,"z2",50,2,1994,"bt6.",0.222009,11.8099,0.307523,0.4612,0.230519,0.0815172,0.0410726,0.0250486,0.0113039,0.00656129,"ds0."
7473875.864,4842809.56,4.99,"z8",40,2,2011,"bt6.",0.222269,11.7449,0.30811,0.462671,0.229798,0.0809865,0.0407759,0.0248358,0.0112023,0.00650029,"ds0."
7476168.48,4841548.216,5.01,"z2",53,2,2006,"bt6.",0.221267,11.7755,0.306371,0.459485,0.229934,0.0813342,0.0409831,0.0249914,0.0112777,0.00654557,"ds0."
7476190.9,4841477.364,5.07,"z2",50,1,1988,"bt6.",0.220154,11.724,0.304644,0.456913,0.229056,0.0810595,0.0408485,0.0249055,0.0112383,0.00652196,"ds0."
7473842.812,4842705.064,5.09,"z8",39,2,1996,"bt6.",0.220403,11.6592,0.305214,0.45835,0.228329,0.0805288,0.0405521,0.0246932,0.0111371,0.00646122,"ds0."
7473807.796,4842694.616,5.12,"z8",100,2,1988,"bt6.",0.219844,11.6335,0.304346,0.457056,0.227887,0.0803913,0.0404848,0.0246504,0.0111175,0.00644948,"ds0."
7473772.976,4842684.388,5.16,"z8",48,2,1990,"bt6.",0.219098,11.5992,0.30319,0.45533,0.227299,0.0802077,0.0403951,0.0245933,0.0110914,0.00643383,"ds0."
7476661.98,4841261.116,5.2,"z2",52,1,1991,"bt6.",0.217745,11.6124,0.300909,0.45135,0.227151,0.0804628,0.0405563,0.0247191,0.0111529,0.00647075,"ds0."
7476537.316,4841270.9125,5.21,"z2",43,2,1997,"bt6.",0.21756,11.6038,0.300622,0.450923,0.227004,0.0804168,0.0405338,0.0247047,0.0111464,0.00646681,"ds0."
7476537.316,4841270.9125,5.21,"z2",100,2,2012,"bt6.",0.21756,11.6038,0.300622,0.450923,0.227004,0.0804168,0.0405338,0.0247047,0.0111464,0.00646681,"ds0."
7473711.012,4842662.06,5.21,"z8",38,2,1989,"bt6.",0.218166,11.5563,0.301746,0.453175,0.226562,0.0799781,0.0402827,0.0245219,0.0110587,0.00641426,"ds0."
7477116.916,4841181.068,5.24,"z2",65,2,1990,"bt6.",0.217004,11.5781,0.299762,0.449642,0.226564,0.0802789,0.0404663,0.0246616,0.0111266,0.00645498,"ds0."
7473848.196,4842493.876,5.24,"z5",40,2,1988,"bt6.",0.223212,10.0971,0.319177,0.48939,0.203394,0.0666426,0.0331528,0.019798,0.00887795,0.00515962,"ds0."
7476163.548,4841301.136,5.25,"z2",30,1,1990,"bt6.",0.216819,11.5695,0.299476,0.449215,0.226417,0.0802329,0.0404437,0.0246472,0.0111201,0.00645103,"ds0."
7473673.832,4842650.648,5.25,"z8",48,2,2000,"bt6.",0.217421,11.522,0.300592,0.451453,0.225973,0.0797942,0.0401928,0.0244647,0.0110325,0.00639859,"ds0."
7475483.944,4841497.432,5.26,"z2",54,1,1988,"bt6.",0.216634,11.5609,0.299189,0.448788,0.22627,0.0801869,0.0404212,0.0246329,0.0111135,0.00644709,"ds0."
